KEY,FREQ,CURRENCY,CURRENCY_DENOM,EXR_TYPE,EXR_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,NAT_TITLE,SOURCE_AGENCY,SOURCE_PUB,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2025-11-28,24.177,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2025-12-01,24.181,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2025-12-02,24.161,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2025-12-03,24.125,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2025-12-04,24.157,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2025-12-05,24.21,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2025-12-08,24.268,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2025-12-09,24.277,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2025-12-10,24.245,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2025-12-11,24.22,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2025-12-12,24.239,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2025-12-15,24.299,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2025-12-16,24.317,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2025-12-17,24.346,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2025-12-18,24.392,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2025-12-19,24.323,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2025-12-22,24.32,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2025-12-23,24.321,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2025-12-24,24.271,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2025-12-29,24.281,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2025-12-30,24.255,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2025-12-31,24.237,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2026-01-02,24.177,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2026-01-05,24.195,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2026-01-06,24.195,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2026-01-07,24.29,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2026-01-08,24.262,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2026-01-09,24.337,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2026-01-12,24.288,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2026-01-13,24.253,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2026-01-14,24.262,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2026-01-15,24.278,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2026-01-16,24.286,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2026-01-19,24.29,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2026-01-20,24.333,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
