country,product,tier,localName,monthly,yearly,storageGB,services,currency,vatIncluded,url,accessed
SE,appleOne,individual,Personligt,215,,50,music;tv;arcade;icloud,SEK,,https://www.apple.com/se/apple-one/,2026-09-25
SE,appleOne,family,Familj,295,,200,music;tv;arcade;icloud,SEK,,https://www.apple.com/se/apple-one/,2026-09-25
SE,fitnessPlus,standalone,,109,890,,,SEK,,https://www.apple.com/se/apple-fitness-plus/,2026-09-25
SE,iphone18Pro,from,,16495,,,,SEK,Y,https://www.apple.com/se/shop/buy-iphone/iphone-18-pro,2026-09-25
SE,iphoneDuo,from,,26995,,,,SEK,Y,https://www.apple.com/se/shop/buy-iphone/iphone-duo,2026-09-26
SE,macbookNeo,from,,8995,,,,SEK,Y,https://www.apple.com/se/shop/buy-mac/macbook-neo,2026-09-26
SE,watchSeries12,from,,4995,,,,SEK,Y,https://www.apple.com/se/shop/buy-watch/apple-watch,2026-09-26
US,appleOne,individual,Individual,21.95,,50,music;tv;arcade;icloud,USD,,https://www.apple.com/apple-one/,2026-09-25
US,appleOne,family,Family,27.95,,200,music;tv;arcade;icloud,USD,,https://www.apple.com/apple-one/,2026-09-25
US,appleOne,premier,Premier,39.95,,2048,music;tv;arcade;icloud;fitness;news,USD,,https://www.apple.com/apple-one/,2026-09-25
US,fitnessPlus,standalone,,9.99,79.99,,,USD,,https://www.apple.com/apple-fitness-plus/,2026-09-25
US,iphone18Pro,from,,1199,,,,USD,N,https://www.apple.com/shop/buy-iphone/iphone-18-pro,2026-09-25
US,iphoneDuo,from,,1999,,,,USD,N,https://www.apple.com/shop/buy-iphone/iphone-duo,2026-09-26
US,macbookNeo,from,,699,,,,USD,N,https://www.apple.com/shop/buy-mac/macbook-neo,2026-09-26
US,watchSeries12,from,,399,,,,USD,N,https://www.apple.com/shop/buy-watch/apple-watch,2026-09-26
